target,xgb_optuna,catboost_optuna,tabm,fttransformer,resnet,gandalf,realmlp,xgb_default,tabnet,lassonet,dcnv2
hsa-mir-423-5p,0.4520166890523257,0.4380128242634659,0.387890439001759,0.3746173187290501,0.3845674051703975,0.3016203916672182,0.3253031882343311,0.3984859347943026,0.2605345388073425,-0.2236936000774829,-0.2725625939226233
hsa-mir-3180-3p,0.4546626004154195,0.4484433265315422,0.4651734596674971,0.4040417951264908,0.4549112187243825,0.4459850693902468,0.3949781935011071,0.4168366517705506,0.3749543106591427,0.4664910096828162,0.4477595163073136
hsa-mir-25-3p,0.5085034417769563,0.497276676875348,0.4759957126687248,0.4600040912036562,0.4489348313897404,0.4457182832537327,0.4456241083099003,0.4579954171977555,0.3803545793686705,0.2750041267613587,0.2974563333855921
hsa-mir-486-5p,0.5699170780690628,0.5756232384123818,0.5811074271592982,0.5706058581255558,0.5773473467205448,0.5880596966986449,0.5766882565196151,0.513386412151686,0.5562886906878171,0.5694938795456126,0.5618574525312534
hsa-mir-138-5p,0.5812694551085168,0.5834648807476637,0.5772309795366426,0.567588786064096,0.5515486792763903,0.5278407729522999,0.5467059049182812,0.5247743328106513,0.4703608329616081,,0.5416384209744327
hsa-mir-26a-5p,0.6083138775814764,0.5443176035523754,0.583599950391742,0.4902839847950285,0.4083419123849742,0.5305357035464806,0.5923027590282175,0.5669810424478605,0.4083669670701442,0.230544807554179,-0.3318891244533193
hsa-mir-582-5p,0.6122704836938176,0.6325959497047718,0.6351904459516438,0.6255265021527867,0.5639635940935275,0.5947280990308724,0.6154509469124394,0.5758313516853135,0.5303062203857385,,0.6130498064571654
hsa-mir-18a-5p,0.6367959645915636,0.6806188469517664,0.6847138440164906,0.6633277223442806,0.6883615263449538,0.6948002841003642,0.678994632291465,0.6054364041348306,0.6629518496999307,,0.6002992776712257
hsa-mir-369-3p,0.7105660364860282,0.7120014817035025,0.7059070473578273,0.6307804780981268,0.6695097400884172,0.6846499655103796,0.6870056315859835,0.7079015570578439,0.6540005163621216,0.6913611226909561,0.7095474553460761
hsa-mir-495-3p,0.7214377673288228,0.7328469658801586,0.7252477396502789,0.7095365248709036,0.7036111596463486,0.6604942615561634,0.6700116784632796,0.716940096635678,0.6243040797089083,,0.6912713637003798
hsa-mir-708-5p,0.7999490162659068,0.8001412460215775,0.7640434574162716,0.7551082095701371,0.7431207890763909,0.7446577346024394,0.742185721080859,0.7903685089829073,0.7418237759801913,,0.7860434789640708
hsa-mir-142-3p,0.8622093265412912,0.8632644370370796,0.8737516978875762,0.8541728559184878,0.8610321681892527,0.8674824284262506,0.8741604768550028,0.8729997228128891,0.8585082219016557,,0.8306928305182014
hsa-mir-20a-5p,0.9429816495036852,0.9429530924047675,0.8900953442393164,0.8964504785931113,0.8729435638499411,0.935815414169992,0.8878707421106602,0.9234402085791414,0.9084334928261828,0.6806798761531236,0.6849495999036105
