target,tabpack,tabm,dcnv2,realmlp,gandalf,xgb_optuna,tabnet,resnet,catboost_optuna,fttransformer,tabr,xgb_default,lassonet
hsa-mir-582-5p,0.7376336885191976,0.7341144664499122,0.6611604559637355,0.7050029095409047,0.6994085107806335,0.6985453999242581,,0.7048533930411708,0.6767584706268073,0.6773672628079153,0.713102944980409,0.6396311668545536,
hsa-mir-20a-5p,0.7668456365342168,0.7651299502259825,0.7227593239353625,0.7426992506721329,0.7346473360807702,0.7461202153883335,,0.7412839631225191,0.732139657376417,0.7296115982330338,0.7451652198212086,0.7065346432429488,0.739561525331609
hsa-mir-299-5p,0.760946333101726,0.774484092933961,0.6908713675197096,0.7112536711251304,0.7396544670903454,0.7615633827110124,,0.7248742448439038,0.7299971742151361,0.7423445112929448,0.7428608482453138,0.7203721208009588,
hsa-mir-25-3p,0.7712045542150107,0.7675171209207784,0.7570369026082394,0.7315344291449359,0.743422095840081,0.7775206685564102,,0.7715775714523074,0.769226326233481,0.7535143659811969,0.7726095815139346,0.7364662782937033,0.7506742611824295
hsa-mir-125a-3p,0.7870292021081046,0.7841356740902462,0.7334734341148299,0.771942789966529,0.7679043948902263,0.7704171053712499,0.7558790833050921,0.7577849420996141,0.7493251810432651,0.7512572527197519,0.7738875342622751,0.743369295127426,0.7435316030710393
hsa-mir-3180-3p,0.7786700076968865,0.7961682823853509,0.7515414269331575,0.7981546058293417,0.7919209942866389,0.7773467126113053,,0.7577032774192359,0.7701860877259366,0.7783982775608734,0.7893855104129588,0.7456973341822746,0.7801397116872884
hsa-mir-326,0.8206773645389291,0.8180179259082448,0.803747082760667,0.8075953140150371,0.8078858239066284,0.7985600041996133,,0.8074977602299281,0.7837482159225737,0.7937320291376591,0.8059797562127186,0.7715174076260356,0.78456344751106
hsa-mir-27a-5p,0.8419613236135578,0.8394030008239918,0.7945733206499829,0.8324325270692952,0.8259450219860942,0.823177419576155,,0.8266913880267299,0.8096781498925129,0.8030583851788524,0.8286133183999574,0.7782596218891247,
hsa-mir-125a-5p,0.8157795379680366,0.8137729107783725,0.8000165569292021,0.8091255606126041,0.806045066478235,0.8024159094207347,0.8016426995619839,0.8110505836948949,0.812783436462368,0.8036047927589138,0.798756414837076,0.7801798406866353,0.7944290528244647
hsa-mir-99b-3p,0.8270560860312567,0.8313894890237231,0.7965655809071688,0.8197094032147232,0.8029236807498442,0.8207905856789987,,0.8158714929150505,0.8069229545504129,0.805749174641585,0.8184121293761308,0.7846355562945089,0.8114295482228349
hsa-mir-22-3p,0.8559566953223705,0.8599298268208849,0.8126418286440579,0.8245913064760771,0.823955021104406,0.8368106004480579,,0.8317396311788267,0.8172498402947699,0.8265262571375744,0.8335518719097504,0.7864515905773997,
