target,tabpack,tabm,dcnv2,realmlp,gandalf,xgb_optuna,tabnet,resnet,catboost_optuna,fttransformer,tabr,xgb_default,lassonet
hsa-mir-592,0.0953910228317879,0.1409382904263061,0.1795429226174246,0.0357765889253703,-0.1014747600417693,0.1717189794315793,,-0.3681667500054797,0.0895100864369053,-0.0036705216141261,0.0220081820010062,0.1022386707032002,0.1842810108604148
hsa-mir-1180-3p,0.2388386426403878,0.2343857277999801,0.0074922750350471,0.035610354537519,0.2339299564156965,0.1819211473915999,6.595054718683269e-05,0.0863368801432298,0.2228412637647467,0.0968923808792566,0.1772523807372392,0.106507590773593,0.2071303878983662
hsa-mir-382-5p,0.3425510622296696,0.311144828122037,0.3408704073440413,0.3710136508752725,0.2054494302401848,0.2112411592249429,,0.3103974285898091,0.0715331616625535,0.235803495850537,0.0934429811958802,0.1556870604354115,
hsa-mir-487a-3p,0.3004797108723518,0.3274959680528988,0.3223380786308338,0.2575312272645913,0.2199379954299408,0.2974822464894863,,0.2083867895270074,0.3911378727885004,0.1857818641274261,0.1009902995815137,0.1585427566357657,0.3539680363570597
hsa-mir-590-5p,0.2361060405095829,0.2096048785116641,0.2632158892721261,0.1308141136898454,0.1679070409806845,0.2230465864596568,,0.0885978976034772,0.1417232897402893,0.0433177368543772,0.0411201947385578,0.1685997677380551,
hsa-mir-411-5p,0.2620550086972532,0.2139452457199321,0.1751827371490427,0.145017088518997,0.2381156759035031,0.0889867869408624,,0.3531950667835704,0.0254314094161013,-0.152513287415329,0.0525637219879931,0.1846353525107474,
hsa-mir-532-3p,0.2778352150730546,0.2972255153515594,0.3047694831168234,0.2171075088509998,0.1433065139773568,0.258533656887595,,0.1909614910165229,0.2885480169723841,0.1806600895568153,0.272774124287087,0.1866887451063019,0.3273295036892308
hsa-mir-27a-5p,0.3377175897528205,0.3645243258937111,0.279903730047202,0.2151651348690488,0.1544077374765271,0.2876836978168791,,0.0384689112722652,0.2955725278757261,0.1999539156853728,0.0528976795625821,0.2159097225901323,
hsa-mir-642a-5p,0.3053404894159375,0.3206025737600946,0.312121181161202,0.2549966207600713,0.2010109606421722,0.3219876262532689,,0.1299264204959415,0.3395895297117414,0.0972443860990652,0.2372062074170208,0.2202600399355861,
hsa-mir-125a-5p,0.2878947773612115,0.2775353586941311,0.350247472758131,0.2669846453750397,0.2925479644895925,0.2885721113623631,0.1952460540809197,0.2753631017782852,0.3015801924496409,0.2371890223837554,0.2657557447084107,0.2356066508037059,-0.0968785396505507
hsa-mir-1185-1-3p,0.428538923842631,0.4790147360670621,0.4895703728523826,0.3390431178400472,0.2796866937271788,0.26308267637033,0.4988762531624183,0.4093468224463955,0.17203232574623,0.3937196602254885,0.2535849763584223,0.2811917697028121,
hsa-mir-22-5p,0.3682773803693712,0.3985091042810503,0.3705387526900876,0.183342867263607,0.2786228767151978,0.3479039109111538,,0.1973680053644492,0.3353304928753579,0.2716530919382597,0.273721563878803,0.3214581046316526,0.3504218654559847
hsa-mir-299-5p,0.4522489813388805,0.486786341977885,0.5598085757906361,0.4457129233173089,0.441264698109274,0.4530417415780587,,0.4812308359024071,0.468828888335377,0.4546511614921252,0.3088603144288563,0.3268509169482919,
hsa-mir-3180-3p,0.4664138409055093,0.4569068702831301,0.5296292907347189,0.3793305526564949,0.4606526215349248,0.4495179267740059,,0.4185363588952387,0.4722963243771402,0.4270486183791993,0.3438253987818261,0.3915707720510171,0.4608855151088354
hsa-mir-423-5p,0.3988238326965561,0.3827749141474862,-0.4589043535387751,0.3861149970620867,0.3574212316841656,0.486535793028563,,0.386121135775141,0.3928467741484952,0.3590210600954642,0.3139762146939947,0.4033485917458185,-0.2286126060607551
hsa-mir-22-3p,0.4684926569231196,0.4993752422486839,0.517922996762061,0.4378021067809022,0.3971916374462685,0.4701230864800976,,0.3974689390211543,0.466922369932442,0.31190822181007,0.4124403648704527,0.4319689736408056,
hsa-mir-25-3p,0.5366262549333235,0.5227350262991665,0.3212352290580649,0.5284101307065834,0.5005360057253285,0.5402655225110519,,0.4342212875467331,0.526936678335316,0.4845164115446468,0.4910984008149053,0.4440809326081135,0.3196919668683879
hsa-mir-138-5p,0.6442181956537779,0.6366128306548418,0.5797664075398621,0.4869890219126072,0.4316423765425499,0.5747147815502729,0.4649473304319578,0.4794599968515078,0.5993887847337831,0.4939212587560967,0.6315308138717045,0.5200679967294479,
hsa-mir-26a-5p,0.6497924559707315,0.5791345926879836,-0.1148495703468497,0.6092695368687757,0.502475571874687,0.6573460857828466,,0.3025648734170189,0.6152024716311735,0.4483145789163383,0.2359956571175696,0.5288701805514169,0.2709726343374851
hsa-mir-486-5p,0.6632514102947367,0.6721378307369138,0.6297150274379362,0.6165530217671389,0.5814005606957957,0.5788659196533106,,0.4876405734148867,0.6057541434750429,0.5100640321241705,0.4700710589676543,0.5458256303652551,
hsa-mir-18a-5p,0.7063286972899984,0.7058189561096712,0.6389847157495576,0.6747204002206818,0.7020603210625854,0.658770130144007,,0.6876753951127845,0.6995428629690497,0.675458305378459,0.6908325563097939,0.5486237633595011,
hsa-mir-582-5p,0.586205057925852,0.627461656158462,0.6163972959221813,0.4815525465589775,0.4519185401458816,0.6358492650399858,,0.5759090001361442,0.6346495561553214,0.606975026577991,0.5290909478074661,0.6396191348379998,
hsa-mir-369-3p,0.7331246831025908,0.7490750209583333,0.6991735991856286,0.6609363095118885,0.718586914548085,0.7318715365865982,,0.635605721789887,0.732323971880587,0.6591390053856565,0.6813734094323478,0.6899061657121848,
hsa-mir-495-3p,0.801096065197746,0.7973406228616167,0.8025949850984719,0.7123210634000872,0.7745984879855434,0.768318113766162,,0.721083959810449,0.7886761187048238,0.6599167908847158,0.7242516508700315,0.7619508813245691,
hsa-mir-708-5p,0.7977152257389453,0.8108999195756199,0.8094826755610116,0.7797443286290404,0.7364114663138237,0.8110873654801958,,0.7480582789580004,0.831318275679329,0.7410059149873524,0.7585966505599382,0.7893133347060863,
hsa-mir-142-3p,0.8962265161999151,0.8964384003355367,0.8862202048375891,0.8986033353215747,0.897584758944213,0.8864581209559079,0.890182406382197,0.9291796373020902,0.8820606051697479,0.845475798847431,0.8789949648411461,0.8610100750996723,
hsa-mir-20a-5p,0.92030939607888,0.9252101009921876,0.7439380194211362,0.8472389345573726,0.9553666746749566,0.951327235277133,,0.9310324092860894,0.9405579644889268,0.9385623736679602,0.900487564239768,0.9366266302807011,0.7159166666991961
