target,xgb_default,xgb_optuna,dcnv2,realmlp,resnet,tabm,tabnet
hsa-mir-26a-5p,0.8125984416036011,0.8398474744408748,0.830911289714575,0.8294526479476774,0.8353845209948447,0.8380257783014332,0.8278023222433536
hsa-mir-135a-5p,0.8273454360824346,0.8525675018729465,0.8560029017287483,0.8684658293725935,0.8665867284466383,0.8746924219356607,0.8626205295043108
hsa-mir-340-3p,0.8362785607687945,0.871272353594169,0.8623646716377918,0.8728324693228363,0.8612276066719609,0.8797633938205518,0.8800661931410994
hsa-mir-590-5p,0.8370453264718744,0.8748620851657032,0.8673217727697167,0.8986836333657882,0.8858871207019364,0.8974290028944975,0.8847437386574373
hsa-mir-423-5p,0.840935286117882,0.8569248493867759,0.8397040301516066,0.8423172083289033,0.841259139415097,0.8582228988336327,0.850622563896005
hsa-mir-200c-3p,0.845164769293974,0.8677651905859025,0.8720040040398823,0.8782303665606406,0.877958450169406,0.8833257139898831,0.871455220315137
hsa-mir-363-3p,0.8493576798849608,0.8706048361802292,0.8636617092564124,0.8717002280436881,0.8677735646231103,0.8809570671387993,0.868997976981947
hsa-mir-1185-1-3p,0.8545198672615097,0.8810949256002627,0.877568242610156,0.9007104356228954,0.894413463797592,0.8971603769392695,0.8988317439865106
hsa-mir-1180-3p,0.85506587240159,0.8757360187898646,0.8886774548011376,0.896291494761335,0.8980471007852658,0.9027271827380222,0.895125944179578
hsa-mir-369-3p,0.8564011686717828,0.8776206163699086,0.8768691750162716,0.880170711339631,0.8747112655671826,0.8939359164406835,0.8841262352037945
hsa-mir-138-5p,0.8590010188151456,0.8821078713717481,0.8827867294545908,0.8942382189633322,0.8912616371778482,0.9000114586563941,0.8954911335931783
hsa-mir-22-5p,0.8613727192622883,0.8826622878817847,0.8887908949891166,0.8971820016018236,0.8907936737740172,0.9049228285925744,0.8971153210710622
hsa-mir-124-3p,0.8675393574996665,0.8718275911286872,0.8708222045254379,0.8776996259932776,0.8790242754676201,0.8787769474222671,0.8775798437106814
hsa-mir-129-1-3p,0.8800128662656107,0.891913596498839,0.8904154059829263,0.8975688081500993,0.8983047486876397,0.8983147606792732,0.892159998015655
hsa-mir-487a-3p,0.8864195164665811,0.9037589973170352,0.8994427125239555,0.9017825627316216,0.8989394191206971,0.9054343245066244,0.9021571614808904
hsa-mir-142-3p,0.886928660435836,0.9060955848324368,0.9009693667010646,0.921848935638206,0.9177652143664268,0.9219423811553094,0.9139216096068876
hsa-mir-411-5p,0.8874153140931496,0.9041224484707282,0.9052083728298468,0.9117008550514856,0.9064283349196136,0.9158690002927448,0.9070285565753142
hsa-mir-495-3p,0.8914742218742402,0.9064753397564528,0.9000857897548719,0.9091017244916506,0.9083670283799604,0.9144816415713388,0.910430849870219
hsa-mir-486-5p,0.9046513146366024,0.9215459544208172,0.9277417771700958,0.9317716546680472,0.9276626974590974,0.9368249448312524,0.93557751671991
hsa-mir-18a-5p,0.9121146309560958,0.9263747828772112,0.9208117120655452,0.92844407725253,0.9310860813844756,0.9351583149562228,0.9311336859757255
