,URS,miRNA_name
321,URS000075AA94,hsa-miR-138-2-3p
322,URS00005FDE70,hsa-miR-328-3p
323,URS000053D2B7,Hsa-Mir-328_5p
324,URS0000EFEAE6,Hsa-Mir-140-P2-v2_5p
325,URS000018A236,Hsa-Mir-140-P2-v2_3p
326,URS0000EFB9BF,Hsa-Mir-7854_5p
327,URS0000EFD7ED,Hsa-Mir-7854_3p
328,URS0000EFCD92,Hsa-Mir-1910_3p
329,URS00004F2EB0,hsa-miR-1910-5p
330,URS0000096022,hsa-miR-22-3p
331,URS0000142DC3,hsa-miR-22-5p
332,URS00006054DA,hsa-miR-132-3p
333,URS0000028BB8,hsa-miR-132-5p
334,URS00005D93A0,Hsa-Mir-132-P2_3p
335,URS00001AFC71,hsa-miR-212-5p
336,URS000075E232,Hsa-Mir-15-P2d_3p
337,URS0000072D03,Hsa-Mir-15-P2d_5p
338,URS000007D64A,hsa-miR-497-3p
339,URS00002AE1D6,Hsa-Mir-15-P1d_5p
340,URS000075BA95,Hsa-Mir-324_3p
341,URS000005481D,Hsa-Mir-324_5p
342,URS00002ED61F,hsa-miR-744-5p
343,URS000075AD75,Hsa-Mir-744_3p
344,URS000015C522,hsa-miR-4731-3p
345,URS00005E08E8,hsa-miR-4731-5p
346,URS0000738AF6,Hsa-Mir-33-P1_3p
347,URS0000D553D9,Hsa-Mir-33-P1_5p
348,URS0000079D48,hsa-miR-1180-3p
349,URS00007769A4,hsa-miR-1180-5p
350,URS0000D54E08,Hsa-Mir-144_3p
351,URS000004F117,Hsa-Mir-144-v2_5p
352,URS00001C8A86,hsa-miR-423-5p
353,URS00000BE495,hsa-miR-423-3p
354,URS0000367985,hsa-miR-193a-5p
355,URS00005DBAF3,hsa-miR-193a-3p
356,URS00005EEDFF,Hsa-Mir-193-P2a_5p
357,URS00003AFD9B,hsa-miR-152-3p
358,URS000000C73C,hsa-miR-152-5p
359,URS0000448565,Hsa-Mir-10-P1c-v2_3p
360,URS0000EFCF5E,Hsa-Mir-196-P3_3p
361,URS00000DA6A7,hsa-miR-196a-5p
362,URS00002620A7,hsa-miR-142-3p
363,URS000075E62A,Hsa-Mir-142-P2-v4_5p
364,URS0000D510F1,Hsa-Mir-130-P3b_3p
365,URS0000D51C12,Hsa-Mir-130-P3b_5p
366,URS00001C11BC,hsa-miR-301a-3p
367,URS000020C95B,hsa-miR-301a-5p
368,URS00004270D7,Hsa-Mir-21_5p
369,URS00007629C2,Hsa-Mir-21_3p
370,URS0000475586,hsa-miR-4524a-3p
371,URS0000EFBFAC,Hsa-Mir-4524_5p
372,URS000075B45F,Hsa-Mir-338-P2_3p
373,URS0000EFB9F2,Hsa-Mir-338-P2-as_5p
374,URS000022FB85,Hsa-Mir-338-P2_5p
375,URS000029D793,hsa-miR-3065-3p
376,URS00004883E0,Hsa-Mir-133-P1-v2_3p
377,URS00004AF952,Hsa-Mir-133-P1-v1_5p
378,URS00001DC04F,hsa-miR-1-3p
379,URS000058AECB,Hsa-Mir-1-P2_5p
380,URS00001EB9FC,hsa-miR-187-3p
381,URS0000EFB9DE,Hsa-Mir-187_5p
382,URS00003380CC,hsa-miR-122-5p
383,URS000075BAE6,hsa-miR-122-3p
384,URS0000486E0B,hsa-miR-3187-5p
385,URS00000D06BF,Hsa-Mir-3187_3p
386,URS0000EFD2BF,Hsa-Mir-7-P4_3p
387,URS000059273E,hsa-miR-24-3p
388,URS00004AB133,Hsa-Mir-24-P3_5p
389,URS00003B95DA,hsa-miR-27a-3p
390,URS00001B341F,hsa-miR-27a-5p
391,URS0000391DB6,microRNA miR-23
392,URS00005070A9,hsa-miR-23a-5p
