ensemble,n_targets_ok,n_targets_fail,n_fallback_solo,n_best_outer_val_k1,n_best_unique_outer_val_k1,n_best_outer_val_bulk,n_best_unique_outer_val_bulk,mean_tune_r2,median_tune_r2,avg_of_medians_K,avg_of_means_K,mean_outer_val_k1_r2,median_outer_val_k1_r2,mean_outer_val_bulk_r2,median_outer_val_bulk_r2,mean_outer_val_pb_K2_r2,median_outer_val_pb_K2_r2,mean_outer_val_pb_K3_r2,median_outer_val_pb_K3_r2,mean_outer_val_pb_K4_r2,median_outer_val_pb_K4_r2,mean_outer_val_pb_K5_r2,median_outer_val_pb_K5_r2,mean_outer_val_pb_K10_r2,median_outer_val_pb_K10_r2,n_targets_k1_gt_0_4,elapsed_sec
xgb_tabpack_tabm_stack,50,0,2,3,3,0,0,0.837987323123263,0.848758704609494,0.8263140238327895,0.8116305310362212,0.3809540550730867,0.3626656090541833,0.7681177318552177,0.8233682723225948,0.8701813814613405,0.89650765019896,0.9171315618596313,0.9284806251934443,0.930048328977839,0.9391726028198826,0.9202726478755934,0.9299552150973197,0.8511952109698359,0.9011024406329468,23,165.8
xgb_tabpack_dcnv2_avg_uniform,50,0,46,0,0,4,0,0.8299320446327065,0.829856056489849,0.8207638408886572,0.8067804259449876,0.38083144859444595,0.3621407937537646,0.777435119793145,0.8388132045596026,0.8634299949356319,0.8879901482589831,0.9103237116038401,0.920254490124648,0.9270040087361895,0.9317929706438572,0.9147528712135811,0.923029120339338,0.8443405205862363,0.899375522211352,21,65.7
dcnv2_tabm_stack,50,0,1,2,2,3,3,0.8122748354218939,0.8237246582131762,0.8098617199266472,0.7946763688819815,0.3697656037577593,0.3611239622195413,0.7677053962223438,0.8399296513085126,0.8400397883017647,0.8774367289830561,0.8940520385683862,0.9045455171179035,0.9115611822022913,0.9188071773677882,0.9058571435943583,0.907889775220952,0.8467824568673287,0.8893671586506415,21,167.3
tabpack_tabm_stack,50,0,2,1,1,1,1,0.8339216667459642,0.8461914165052655,0.8255986114311882,0.8082496024765838,0.375271792783682,0.3609160688909848,0.768766139464514,0.8300467156479534,0.8641208942526964,0.8964004291196381,0.9137318869916186,0.9266006370111222,0.9281640959856297,0.9393757774129305,0.9191365206925626,0.9304284362774504,0.8490724241533139,0.8998703198750025,22,139.9
xgb_dcnv2_stack,50,0,0,4,4,0,0,0.7985364675967667,0.8134548868910052,0.7991692550781696,0.7775971344350913,0.3514976866944978,0.36088842798363435,0.7447156088105419,0.8129205278432683,0.8306775879849709,0.8582656379819775,0.8797982075035563,0.8881325129581299,0.8931073674853984,0.9073123429760462,0.8860645957812152,0.9023115473660583,0.8244373611609095,0.8781050612031709,19,76.1
tabpack_tabm_avg_uniform,50,0,42,0,0,6,0,0.8287641730227971,0.8353223215443986,0.8214366475546631,0.8063162713743711,0.37565441876045486,0.3584921039184114,0.7774391952319698,0.8388132045596026,0.8603419060197711,0.8879901482589831,0.9094284233671108,0.9241670073221457,0.9268248773637621,0.9349889182334388,0.9165342745258205,0.926202247743779,0.849113728209307,0.8967794598512205,21,128.8
xgb_tabpack_stack,50,0,0,4,4,0,0,0.8357690970136967,0.8365247747155862,0.823769607355464,0.8102044132947803,0.3847187235392109,0.35816064116515484,0.7678464597902038,0.8337785839454227,0.867782049104272,0.8922607053283926,0.9148496624084536,0.9257436186190395,0.9286586929867064,0.9383885627081989,0.9176662936803303,0.9267528882341736,0.8475510580497081,0.9013112280778238,21,49.8
xgb_tabpack_tabm_blend,50,0,31,1,0,4,0,0.8321008478192807,0.8389931380947951,0.8222865146737579,0.8099501119762875,0.38036408990878356,0.35755578313651437,0.7785717320304772,0.8388132045596026,0.8659299272763914,0.8879901482589831,0.9128016685138839,0.9222987214658998,0.9296729098613116,0.9393701058517803,0.9190588129905471,0.9271288071180177,0.8518732633068082,0.899375522211352,22,155.9
tabpack_tabm_blend,50,0,37,0,0,6,0,0.8289977443988807,0.8373515956679274,0.8208101107843842,0.8064725588695363,0.37593759292688916,0.35755578313651437,0.7778733927967295,0.8388132045596026,0.860351781505305,0.8879901482589831,0.9094996945266387,0.92149259346186,0.9269596196875537,0.9349889182334388,0.9170554347439578,0.9260537617642878,0.8490312298268735,0.8967794598512205,21,128.7
tabpack_dcnv2_tabm_avg_uniform,50,0,40,0,0,7,3,0.8285853566657836,0.8353223215443986,0.8206727391152323,0.8082687814867282,0.3794503854913671,0.3528806310945471,0.7793735908444992,0.8388132045596026,0.8623834824972079,0.8879901482589831,0.9108815162342607,0.9241670073221457,0.9276165813731339,0.9360169404207186,0.9181143452923776,0.926202247743779,0.8511663780320223,0.8967794598512205,21,159.5
xgb_tabpack_blend,50,0,38,3,1,4,0,0.830507578614423,0.8316739094488705,0.8196827418281982,0.8075740367362373,0.38118781368993837,0.35150771608448184,0.7772261745699481,0.8388132045596026,0.8642535456787707,0.8879901482589831,0.9105281961460586,0.9222987214658998,0.9273180979318215,0.9338952226091344,0.9160669742373733,0.923029120339338,0.8460895927334614,0.899375522211352,21,39.5
xgb_tabpack_avg_uniform,50,0,45,1,0,4,1,0.830160971686709,0.8314062336764885,0.8198248441239618,0.8072408905727801,0.3801721048899487,0.35150771608448184,0.7762655619637187,0.8388132045596026,0.8642548073483437,0.8907549034067495,0.910380297348173,0.9224523014613308,0.9267292313833876,0.9318295012405189,0.9162229302204551,0.923029120339338,0.8456859722463729,0.899375522211352,21,38.7
xgb_tabpack_tabm_avg_uniform,50,0,47,0,0,4,0,0.83112388885941,0.8389931380947951,0.8203055021934139,0.8081674559627864,0.3778703598357478,0.35150771608448184,0.7765377854747836,0.8388132045596026,0.8641505441987721,0.8901950750829399,0.9113201513511187,0.9241670073221457,0.9279642334080573,0.9317929706438572,0.917709274436895,0.9247947218157059,0.8499901725461272,0.899375522211352,21,154.5
xgb_dcnv2_blend,50,0,6,4,3,0,0,0.7920428821962432,0.8029685801419435,0.7949520907199618,0.7713683424213557,0.3450309726336673,0.35116008549153976,0.7599026424194468,0.8268762054382667,0.8255074481169102,0.8492620830450308,0.872739446479234,0.8843496324837832,0.8871849792893117,0.9033621727084142,0.8786534875119253,0.9048081141881119,0.8190937204970855,0.8767704564028903,20,65.9
xgb_dcnv2_avg_uniform,50,0,24,3,2,0,0,0.7890542402066051,0.7987656135917545,0.788628335298727,0.7687336190386177,0.3433181901276001,0.3387532547910514,0.7563573233079363,0.8241026891714144,0.8232130058632495,0.8483086355978698,0.8712330330416888,0.8784171156124941,0.8844755528474305,0.9005918252529022,0.8752523094111015,0.8921004395993071,0.8149096229406355,0.8735987409387376,20,65.8
xgb_dcnv2_tabm_avg_uniform,50,0,31,2,2,6,1,0.8073759514143768,0.8216586586818357,0.8023654439147186,0.7928230056599569,0.3667842026351648,0.3378365883354626,0.772840713398744,0.8362360189609543,0.841838652169371,0.8672481347809227,0.8897548997816288,0.8958529270275273,0.9113726214087424,0.9179670243807453,0.9030944217608774,0.9072603048340915,0.8440932362039567,0.8880276841295623,20,184.0
dcnv2_tabm_avg_uniform,50,0,16,0,0,0,0,0.8052694284393438,0.8169528867038821,0.800367676692829,0.7877478186488203,0.35974456447629344,0.3323127429640939,0.7764190760728014,0.8434178242845882,0.8324235188696859,0.870817301428617,0.8872901717621801,0.8994446680027428,0.9059788050046161,0.9139919017289274,0.8993234251585035,0.9014750504531774,0.8417264266216429,0.8841643955794163,19,157.8
xgb_tabm_stack,50,0,0,1,1,3,3,0.8057264464664331,0.82085910185965,0.8022458898192052,0.7932698507955466,0.3519960969561695,0.3194448095694693,0.7720497615578022,0.8400570029306937,0.8414505985084152,0.8557949852028075,0.894996743606248,0.9080550239291267,0.9155034636844117,0.9230566935878228,0.9086235565514932,0.9172815823055066,0.8470486454665414,0.8898422443204985,20,163.3
xgb_tabm_blend,50,0,31,1,1,14,7,0.8020730723654357,0.816188565270187,0.800655584063232,0.790924092711787,0.3501449629924839,0.3146409717124583,0.7824500775190881,0.8428016319429716,0.8378910327895133,0.8588280352950389,0.8905671162543216,0.9036300264761363,0.9139079805598824,0.9174569407672748,0.9059557690128102,0.916818567250411,0.8470776946617097,0.892558962878073,20,152.4
xgb_tabm_avg_uniform,50,0,41,0,0,7,0,0.8016292378027177,0.816188565270187,0.8009196530952153,0.7899245293343617,0.34734966147237023,0.3134644692754456,0.7820573498438053,0.8435499719721673,0.8365291005134782,0.8591940569780914,0.8905565999006133,0.9036300264761363,0.9137466719320845,0.9179670243807453,0.9056497020292004,0.9170066942937807,0.8457154401584239,0.8942556471670928,19,152.1
