target,fallback_best_solo,best_solo_model,ridge_intercept,ridge_alpha,tune_r2,coef_catboost_optuna,effective_catboost_optuna,coef_tabm,effective_tabm,coef_resnet,effective_resnet,abs_share_catboost_optuna,effective_share_catboost_optuna,abs_share_tabm,effective_share_tabm,abs_share_resnet,effective_share_resnet
hsa-mir-299-5p,False,,0.03658076545229694,837.6776400682924,0.7460397295506958,0.32550775931529596,0.32550775931529596,0.3402125219904547,0.3402125219904547,0.338408577874016,0.338408577874016,0.32416930988438125,0.32416930988438125,0.3388136083135395,0.3388136083135395,0.33701708180207934,0.33701708180207934
hsa-mir-301a-5p,False,,0.09829577161438119,0.01,0.04982778095402418,0.15859505063635232,0.15859505063635232,0.7214832376637763,0.7214832376637763,-0.11705997678308575,-0.11705997678308575,0.15905021017633603,0.15905021017633603,0.7235538570005297,0.7235538570005297,0.11739593282313433,0.11739593282313433
hsa-mir-301b-3p,False,,0.05793476372797546,203.09176209047388,0.34383392171888916,0.44869816891926606,0.44869816891926606,0.24427594315259402,0.24427594315259402,0.31351281838821454,0.31351281838821454,0.44580625474606206,0.44580625474606206,0.24270155504248148,0.24270155504248148,0.3114921902114565,0.3114921902114565
hsa-mir-301b-5p,False,,-0.03496286827395223,100.0,0.19698608124826944,0.6032585667491872,0.6032585667491872,0.38040790450575757,0.38040790450575757,0.12166202851276194,0.12166202851276194,0.5457731044444857,0.5457731044444857,0.3441582340324195,0.3441582340324195,0.11006866152309486,0.11006866152309486
hsa-mir-3180-3p,False,,0.03427870731730076,587.8016072274911,0.7524468860459017,0.2983691403855932,0.2983691403855932,0.37458752224343295,0.37458752224343295,0.32446420678430216,0.32446420678430216,0.2991406632198207,0.2991406632198207,0.3755561305467381,0.3755561305467381,0.32530320623344117,0.32530320623344117
hsa-mir-326,False,,0.07202533637181523,70.1703828670383,0.01855906827755105,0.24903351856321215,0.24903351856321215,0.20911895693233615,0.20911895693233615,0.048148596780936796,0.048148596780936796,0.49186843994519114,0.49186843994519114,0.41303281462959013,0.41303281462959013,0.09509874542521889,0.09509874542521889
hsa-mir-340-3p,False,,-0.014231843012375123,100.0,0.2777819130418957,0.5791191509668282,0.5791191509668282,0.36596966408250475,0.36596966408250475,0.029940344505960528,0.029940344505960528,0.5939505965451966,0.5939505965451966,0.37534227617297306,0.37534227617297306,0.03070712728183041,0.03070712728183041
hsa-mir-363-3p,False,,0.09092902956826507,412.4626382901356,0.12521114654997256,0.2896663001259238,0.2896663001259238,0.2370695669129512,0.2370695669129512,0.12147462060295823,0.12147462060295823,0.446870739749552,0.446870739749552,0.3657292984805011,0.3657292984805011,0.18739996176994697,0.18739996176994697
hsa-mir-369-3p,False,,-0.03857232289291446,587.8016072274911,0.8653586512006393,0.3253165004775845,0.3253165004775845,0.40958914684202924,0.40958914684202924,0.27344115372730204,0.27344115372730204,0.32262362526446725,0.32262362526446725,0.4061986872143328,0.4061986872143328,0.27117768752119986,0.27117768752119986
hsa-mir-374a-3p,False,,0.26063627354693786,0.01,0.14148316638910563,0.9461045688180111,0.9461045688180111,-0.1282245592421769,-0.1282245592421769,0.11543130629377937,0.11543130629377937,0.7952059435660593,0.7952059435660593,0.10777342693514773,0.10777342693514773,0.09702062949879307,0.09702062949879307
